Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1540212786,6EZ5,10/29/2025 02:34:55 -05:00,10/29/2025 03:15:22 -05:00,1.166050000,1.165500000,6.48000,-137.500000000,2,Long,10/29/2025 00:00:00 -05:00,00:40:26.7148440,
1540306142,6EZ5,10/29/2025 03:34:36 -05:00,10/29/2025 03:52:53 -05:00,1.166150000,1.165500000,6.48000,-162.500000000,2,Long,10/29/2025 00:00:00 -05:00,00:18:17.3579790,
1499163878,MCLZ5,10/21/2025 09:35:19 -05:00,10/21/2025 11:38:40 -05:00,56.670000000,57.770000000,4.16000,440.000000000,4,Long,10/21/2025 00:00:00 -05:00,02:03:21.1427280,
1460693882,MNQZ5,10/13/2025 10:02:15 -05:00,10/13/2025 10:04:07 -05:00,24760.000000000,24754.250000000,2.22000,-34.500000000,3,Long,10/13/2025 00:00:00 -05:00,00:01:52.6019790,
1458717017,MNQZ5,10/13/2025 06:03:48 -05:00,10/13/2025 06:04:13 -05:00,24842.000000000,24815.500000000,2.22000,-159.000000000,3,Long,10/13/2025 00:00:00 -05:00,00:00:24.6988830,
1511856866,6EZ5,10/23/2025 01:40:06 -05:00,10/23/2025 05:44:07 -05:00,1.162700000,1.162300000,6.48000,-100.000000000,2,Long,10/23/2025 00:00:00 -05:00,04:04:01.7664030,
1445109835,MGCZ5,10/08/2025 20:53:11 -05:00,10/08/2025 21:17:22 -05:00,4040.100000000,4028.200000000,2.48000,-238.000000000,2,Long,10/09/2025 00:00:00 -05:00,00:24:11.6487850,
1484380180,6EZ5,10/16/2025 20:47:13 -05:00,10/16/2025 21:16:22 -05:00,1.174050000,1.174050000,6.48000,0.000000000,2,Short,10/17/2025 00:00:00 -05:00,00:29:09.6332270,
1464026900,6EZ5,10/14/2025 00:33:23 -05:00,10/14/2025 00:41:01 -05:00,1.162700000,1.163300000,6.48000,-150.000000000,2,Short,10/14/2025 00:00:00 -05:00,00:07:37.9654880,
1464422308,6EZ5,10/14/2025 01:05:26 -05:00,10/14/2025 02:39:29 -05:00,1.162500000,1.159450000,6.48000,762.500000000,2,Short,10/14/2025 00:00:00 -05:00,01:34:02.6873350,
1464422597,6EZ5,10/14/2025 02:39:33 -05:00,10/14/2025 02:39:34 -05:00,1.159650000,1.159600000,6.48000,-12.500000000,2,Long,10/14/2025 00:00:00 -05:00,00:00:01.3062140,
1439439432,MNQZ5,10/07/2025 21:49:10 -05:00,10/07/2025 21:51:08 -05:00,25080.750000000,25084.250000000,2.22000,21.000000000,3,Long,10/08/2025 00:00:00 -05:00,00:01:57.3335510,
1440244144,MNQZ5,10/08/2025 04:02:38 -05:00,10/08/2025 05:38:37 -05:00,25096.000000000,25095.250000000,2.22000,4.500000000,3,Short,10/08/2025 00:00:00 -05:00,01:35:59.5776420,
1440254576,MNQZ5,10/08/2025 05:44:22 -05:00,10/08/2025 05:46:21 -05:00,25088.750000000,25094.000000000,2.22000,-31.500000000,3,Short,10/08/2025 00:00:00 -05:00,00:01:59.2767630,
1440742861,MNQZ5,10/08/2025 06:11:17 -05:00,10/08/2025 08:27:07 -05:00,25100.000000000,25097.500000000,2.22000,15.000000000,3,Short,10/08/2025 00:00:00 -05:00,02:15:49.6578400,
1440791798,MNQZ5,10/08/2025 08:28:25 -05:00,10/08/2025 08:30:46 -05:00,25088.000000000,25096.500000000,2.22000,-51.000000000,3,Short,10/08/2025 00:00:00 -05:00,00:02:21.0884550,
1486240064,SILZ5,10/17/2025 08:11:21 -05:00,10/17/2025 08:17:47 -05:00,51.890000000,51.765000000,2.04000,-125.000000000,1,Long,10/17/2025 00:00:00 -05:00,00:06:25.5767960,
1486294127,SILZ5,10/17/2025 08:29:25 -05:00,10/17/2025 08:29:28 -05:00,51.995000000,51.985000000,2.04000,-10.000000000,1,Long,10/17/2025 00:00:00 -05:00,00:00:02.7239920,
1486323391,SILZ5,10/17/2025 08:29:48 -05:00,10/17/2025 08:30:46 -05:00,51.995000000,51.835000000,2.04000,-160.000000000,1,Long,10/17/2025 00:00:00 -05:00,00:00:57.3370700,
1477085979,MNQZ5,10/15/2025 22:27:22 -05:00,10/15/2025 23:18:29 -05:00,24922.500000000,24935.000000000,1.48000,-50.000000000,2,Short,10/16/2025 00:00:00 -05:00,00:51:06.4995790,
1448456981,SILZ5,10/09/2025 10:11:52 -05:00,10/09/2025 10:23:32 -05:00,48.550000000,48.395000000,2.04000,-155.000000000,1,Long,10/09/2025 00:00:00 -05:00,00:11:40.1873010,
1448915156,SILZ5,10/09/2025 10:51:16 -05:00,10/09/2025 11:15:20 -05:00,48.190000000,48.210000000,2.04000,20.000000000,1,Long,10/09/2025 00:00:00 -05:00,00:24:03.4157390,
1449624109,MGCZ5,10/09/2025 12:32:02 -05:00,10/09/2025 12:45:21 -05:00,3974.300000000,3967.800000000,2.48000,-130.000000000,2,Long,10/09/2025 00:00:00 -05:00,00:13:19.0273020,
1449972007,MGCZ5,10/09/2025 13:47:32 -05:00,10/09/2025 14:01:56 -05:00,3973.500000000,3969.500000000,2.48000,-80.000000000,2,Long,10/09/2025 00:00:00 -05:00,00:14:23.6592530,
1451213719,MNQZ5,10/09/2025 23:21:14 -05:00,10/09/2025 23:53:00 -05:00,25316.250000000,25309.750000000,2.22000,-39.000000000,3,Long,10/10/2025 00:00:00 -05:00,00:31:45.3535540,
1451419394,6EZ5,10/10/2025 01:38:53 -05:00,10/10/2025 01:41:08 -05:00,1.161100000,1.160650000,6.48000,-112.500000000,2,Long,10/10/2025 00:00:00 -05:00,00:02:15.1213640,
1453918443,SILZ5,10/10/2025 09:11:06 -05:00,10/10/2025 10:00:31 -05:00,48.260000000,48.260000000,2.04000,0.000000000,1,Long,10/10/2025 00:00:00 -05:00,00:49:25.2889220,
1486940457,CLZ5,10/17/2025 08:53:18 -05:00,10/17/2025 08:58:08 -05:00,57.050000000,56.950000000,6.08000,-200.000000000,2,Long,10/17/2025 00:00:00 -05:00,00:04:50.0990490,
1454625013,SILZ5,10/10/2025 10:38:57 -05:00,10/10/2025 10:40:22 -05:00,48.005000000,47.845000000,2.04000,-160.000000000,1,Long,10/10/2025 00:00:00 -05:00,00:01:24.4562910,
1455264980,MGCZ5,10/10/2025 11:43:27 -05:00,10/10/2025 11:56:35 -05:00,4001.000000000,3993.200000000,2.48000,-156.000000000,2,Long,10/10/2025 00:00:00 -05:00,00:13:07.5058470,
1518733810,SILZ5,10/24/2025 00:49:35 -05:00,10/24/2025 01:03:01 -05:00,48.130000000,47.950000000,2.04000,-180.000000000,1,Long,10/24/2025 00:00:00 -05:00,00:13:26.5540600,
